"category","role","level","region","rate_type","rate_low","rate_high","rate_unit","notes","last_updated"
"Contingent Workforce","Agile Coach","1 yr min","AMER","Bill Rate","$136","$150","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Agile Coach (Specialized)","1 yr min","AMER","Bill Rate","$150","$165","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Associate Principal Automation Tester / Associate Principal DevSecOps Engineer","8 yrs min","AMER","Bill Rate","$145","$160","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Associate Principal Automation Tester / Associate Principal DevSecOps Engineer (Specialized)","8 yrs min","AMER","Bill Rate","$160","$176","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Associate Principal QA Engineer","8 yrs min","AMER","Bill Rate","$114","$126","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Associate Principal QA Engineer (Specialized)","8 yrs min","AMER","Bill Rate","$126","$138","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Associate Principal Software Engineer / Senior Delivery Manager / Lead Solution Architect","8 yrs min","AMER","Bill Rate","$145","$160","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Associate Principal Software Engineer / Senior Delivery Manager / Lead Solution Architect (Specialized)","8 yrs min","AMER","Bill Rate","$159","$175","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Automation Tester / DevSecOps Engineer","1 yr min","AMER","Bill Rate","$92","$102","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Automation Tester / DevSecOps Engineer (Specialized)","1 yr min","AMER","Bill Rate","$102","$112","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Business & Technology Consulting VP/CTO","15 yrs min","AMER","Bill Rate","$191","$204","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Business & Technology Consulting VP/CTO (Specialized)","15 yrs min","AMER","Bill Rate","$204","$224","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Business Analyst / UI/UX Designer","1 yr min","AMER","Bill Rate","$85","$93","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Business Analyst / UI/UX Designer (Specialized)","1 yr min","AMER","Bill Rate","$93","$103","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Chief Automation Tester / Chief DevSecOps Engineer","10 yrs min","AMER","Bill Rate","$129","$142","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Chief Automation Tester / Chief DevSecOps Engineer (Specialized)","10 yrs min","AMER","Bill Rate","$142","$156","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Chief QA Engineer","12 yrs min","AMER","Bill Rate","$104","$114","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Chief QA Engineer (Specialized)","12 yrs min","AMER","Bill Rate","$112","$123","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
"Contingent Workforce","Chief Software Engineer 1 / Solution Architect","10 yrs min","AMER","Bill Rate","$136","$150","/hr","Insight Global AMER negotiated rate card 2026. US rate. ","2026-04-01"
"Contingent Workforce","Chief Software Engineer 1 / Solution Architect (Specialized)","10 yrs min","AMER","Bill Rate","$150","$165","/hr","Insight Global AMER negotiated rate card 2026. US rate. Specialized = niche/specific technology premium.","2026-04-01"
