id,name,domain,category,tier,status,region,annual_spend,renewal_date,primary_contact,supplier_address,supplier_notice,supplier_rep_name,supplier_rep_email,description,sla_score,concentration_risk,financial_risk,delivery_risk,compliance_risk,risk_score,capabilities,notes
V001,NTT Data,nttdata.com,Professional Services,1,Active,AMER|APAC|EMEA,$22.8M,2028-09-01,VER Team,"Suite 600, 7950 Jones Branch Drive, McLean, VA 22102",Same as principal,,,Large-scale AMS and Application Development engagement across DET pillars. Strategic partner with 180-day notice period.,97,85,15,20,10,40,Application Development|Application Maintenance|Staff Augmentation|DevOps|Platform Engineering,AMS decentralization underway. AD restructure complete Apr 2026. ~140 resources across 24 POs.
V002,Cognizant,cognizant.com,Professional Services,1,Active,AMER|APAC|EMEA,$9.5M,2027-02-14,VER Team,"300 Frank W. Burr Blvd, Teaneck, NJ 07666",Same as principal,,,Workday ADAMS Enterprise Systems and Financials AMS engagements. Yr3 ES and Yr2 FINS.,99,60,20,15,12,31,ERP / Workday|Application Maintenance|Staff Augmentation|Analytics & BI,ES Yr3 final year. FINS Yr2. Both meeting/exceeding SLA. Renewal decision Q1 FY28.
V003,Tech Mahindra,techmahindra.com,Professional Services,2,Under Review,Global,$6.5M,2027-04-30,VER Team,"2 Tower Center Blvd, Suite 2200, East Brunswick, NJ 08816",Same as principal,,,Techforce Service Desk and On-Site Services. 3 SLA metrics currently below target.,82,50,30,68,55,52,Service Desk|Managed Services|Staff Augmentation|Network & AV,"DOWNGRADED T1→T2. 3 SLA metrics below target: L2 Escalation, Misroutes, Basecamp Closure Rate. Active performance remediation plan in place."
V004,Workday,workday.com,Software / SaaS,1,Active,Global,$23.7M,2026-11-30,VER Team,"6110 Stoneridge Mall Road, Pleasanton, CA 94588",Same as principal,,,"Core HCM, Financials, and enterprise platform license. Highest spend vendor in portfolio.",98,90,10,10,8,38,ERP / Workday|Analytics & BI|Identity & Access,Renewal due Nov 2026. High concentration risk — mission-critical. Negotiations due Q3 FY27.
V005,AWS,aws.amazon.com,Cloud & Managed Services,1,Active,Global,$17.2M,2027-03-01,VER Team,"410 Terry Avenue North, Seattle, WA 98109",Same as principal,,,Cloud infrastructure and managed services via Enterprise Discount Program across all DET engineering.,99,80,8,10,12,34,Cloud Infrastructure|DevOps|Security|Managed Services|AI / ML,EDP renewal tracking. Usage within committed spend envelope.
V006,IBM,ibm.com,Professional Services,2,Active,AMER|EMEA,$14.3M,2026-08-01,VER Team,"1 New Orchard Road, Armonk, NY 10504",Same as principal,,,Enterprise application and data services. Also provides video streaming platform.,91,55,35,40,30,43,Application Development|Data Engineering|Security|Analytics & BI|Managed Services,Renewal Aug 2026 — active review with Procurement.
V007,Google Cloud,cloud.google.com,Cloud & Managed Services,2,Active,Global,$14.0M,2027-01-15,VER Team,"1600 Amphitheatre Parkway, Mountain View, CA 94043",Same as principal,,,"Google Cloud Platform, Workspace, and AI/Gemini services across DET engineering.",99,65,10,12,10,30,Cloud Infrastructure|Analytics & BI|AI / ML|Platform Engineering,GCP and Workspace nominal. Gemini AI usage growing.
V008,Deloitte,deloitte.com,Professional Services,2,Active,AMER|EMEA,$9.1M,2026-12-31,VER Team,"30 Rockefeller Plaza, New York, NY 10112",Same as principal,,,Advisory and implementation services across DET programs. Active SOW supplier in Fieldglass.,94,40,25,30,20,31,Consulting / Advisory|Application Development|Data Engineering|QA & Testing,Renewal Dec 2026. Performing to scope.
V009,BCG,bcg.com,Professional Services,2,Escalation,AMER,$6.0M,2026-06-30,VER Team,"200 Pier 4 Blvd, Boston, MA 02210",Same as principal,,,Strategic consulting engagement — active escalation in progress.,78,30,40,70,50,47,Consulting / Advisory,Active escalation. VER Director engaged with business owner. Renewal risk.
V010,Gartner,gartner.com,Software / SaaS,3,Active,AMER,$1.2M,2026-09-30,VER Team,"56 Top Gallant Road, Stamford, CT 06902",Same as principal,,,"Research, advisory, and analyst subscription services.",95,15,20,18,15,17,Consulting / Advisory|Analytics & BI,Review seat count before renewal.
V011,Conviva,conviva.com,Software / SaaS,3,Active,AMER,$0.8M,2026-10-15,VER Team,"989 E Hillsdale Blvd, Foster City, CA 94404",Same as principal,,,Video intelligence and streaming analytics platform.,93,20,22,25,18,22,Analytics & BI|Platform Engineering,Usage at 84% of cap. Monitor monthly.
V012,New Relic,newrelic.com,Software / SaaS,3,Active,AMER,$0.6M,2027-02-01,VER Team,"188 Spear Street, Suite 1200, San Francisco, CA 94105",Same as principal,,,Observability and performance monitoring platform.,97,15,15,12,10,13,DevOps|Platform Engineering,Nominal. No concerns.
V013,Microsoft,microsoft.com,Software / SaaS,1,Active,Global,$1.4M,2026-06-30,VER Team,"One Microsoft Way, Redmond, WA 98052",Same as principal,,,"Microsoft 365, Azure dev tooling, and enterprise licensing.",98,50,10,8,10,23,Cloud Infrastructure|DevOps|Platform Engineering|Analytics & BI,M365 and Azure dev. Renewal Jun 2026.
V014,ServiceNow,servicenow.com,Software / SaaS,2,Active,Global,$0.9M,2026-12-01,VER Team,"2225 Lawson Lane, Santa Clara, CA 95054",Same as principal,,,ITSM and workflow automation platform supporting DET operations.,96,35,18,15,12,22,Platform Engineering|Managed Services,ITSM for DET operations workflows.
V015,Splunk,splunk.com,Software / SaaS,2,Active,AMER,$0.7M,2027-03-15,VER Team,"270 Brannan Street, San Francisco, CA 94107",Same as principal,,,Security information and event management (SIEM) platform. Active SOW supplier.,95,30,18,12,8,19,Security|Analytics & BI|DevOps,SIEM and log analytics. Cisco acquisition — monitor terms.
V016,Tableau,tableau.com,Software / SaaS,2,Active,Global,$0.5M,2026-09-01,VER Team,"837 N 34th Street, Seattle, WA 98103",Same as principal,,,Business intelligence and data visualization platform (Salesforce-owned).,97,25,12,10,8,15,Analytics & BI|Data Engineering,Enterprise BI platform for DET reporting.
V017,Okta,okta.com,Software / SaaS,2,Active,Global,$0.8M,2026-11-30,VER Team,"100 First Street, Suite 600, San Francisco, CA 94105",Same as principal,,,Identity and access management platform. Active SOW and Professional Services.,98,40,15,10,10,22,Identity & Access|Security,SSO and MFA for DET workforce. FY27 renewal approved $1.27M.
V018,Atlassian,atlassian.com,Software / SaaS,2,Active,AMER|APAC,$0.6M,2027-01-15,VER Team,"350 Bush Street, Floor 13, San Francisco, CA 94104",Same as principal,,,"Jira, Confluence, and collaboration tooling. Cloud migration complete.",96,30,12,10,8,17,Platform Engineering|DevOps|QA & Testing,Engineering collaboration suite.
V019,Snowflake,snowflake.com,Software / SaaS,2,Active,Global,$1.1M,2026-08-15,VER Team,"450 Concar Drive, San Mateo, CA 94402",Same as principal,,,Cloud data warehouse and analytics platform. MFT item for data workloads.,96,35,15,12,10,20,Data Engineering|Analytics & BI|Cloud Infrastructure,Data cloud for DET analytics workloads.
V020,GitHub,github.com,Software / SaaS,2,Active,Global,$0.4M,2027-02-28,VER Team,"88 Colin P. Kelly Jr. Street, San Francisco, CA 94107",Same as principal,,,"Source control, CI/CD, and developer collaboration (GHEC). Microsoft-owned.",99,25,10,8,8,14,DevOps|Platform Engineering|QA & Testing,GitHub Enterprise Cloud.
V021,Sentry IO,sentry.io,Software / SaaS,3,Active,AMER,$0.3M,2026-07-31,VER Team,"132 Hawthorne Street, San Francisco, CA 94107",Same as principal,,,Error monitoring and application performance tracking.,97,15,12,10,8,12,DevOps|Platform Engineering,Stable usage. Enterprise plan.
V022,Anthropic (Claude),anthropic.com,Software / SaaS,2,Active,AMER,$0.5M,2026-12-31,VER Team,"548 Market Street PMB 90375, San Francisco, CA 94104",Same as principal,,,AI assistant and API platform. Strategic AI partnership — Director-managed.,99,20,10,8,8,13,AI / ML|Platform Engineering,Director-managed engagement. VER Intelligence Hub built on Claude. MFT tracked.
V023,Adobe,adobe.com,Software / SaaS,2,Active,Global,$0.5M,2026-12-31,VER Team,"345 Park Avenue, San Jose, CA 95110",Same as principal,,,Adobe AEM and Marketo Engage. Active in FY27 MFT.,95,30,15,12,10,19,Platform Engineering|Analytics & BI|AI / ML,AEM FY26 renewal and Marketo FY27 active in MFT.
V024,Akamai,akamai.com,Software / SaaS,2,Active,Global,$0.7M,2026-12-31,VER Team,"145 Broadway, Cambridge, MA 02142",Same as principal,,,"CDN, web security, and cloud delivery platform. FY27 renewal in MFT.",97,25,12,10,8,15,Cloud Infrastructure|Security|Platform Engineering,FY27 renewal $720K. New/Not Submitted in MFT.
V025,Kaltura,kaltura.com,Software / SaaS,2,Active,Global,$1.3M,2027-02-01,VER Team,"860 Broadway, 3rd Floor, New York, NY 10003",Same as principal,,,Media services and video platform (SF+ Platform). FY27 renewal approved.,94,25,15,12,10,17,Platform Engineering|Analytics & BI,FY27 renewal $1.31M approved in MFT.
V026,ON24,on24.com,Software / SaaS,3,Active,AMER,$0.9M,2026-11-30,VER Team,"50 Fremont Street, Suite 600, San Francisco, CA 94105",Same as principal,,,Webinar and virtual event platform. Professional Services also active.,91,20,15,12,10,15,Platform Engineering|Analytics & BI,FY27 renewal $913K. Professional Services $74K. In MFT.
V027,Smartling,smartling.com,Software / SaaS,3,Active,Global,$0.1M,2027-01-31,VER Team,"155 E 44th Street, 7th Floor, New York, NY 10017",Same as principal,,,Translation and localization platform. SFDC and MuleSoft renewals in MFT.,93,15,12,10,8,12,Platform Engineering,SFDC renewal $100K and MuleSoft renewal $46K in MFT.
V028,Okta,okta.com,Software / SaaS,2,Active,Global,$0.8M,2027-07-31,VER Team,"100 First Street, San Francisco, CA 94105",Same as principal,,,Identity platform. Also active as SOW supplier in Fieldglass.,98,35,15,10,10,20,Identity & Access|Security,FY27 renewal approved. Professional Services active.
V029,Accenture,accenture.com,Professional Services,2,Active,Global,$0,2026-12-31,VER Team,"161 N Clark Street, Chicago, IL 60601",Same as principal,,,Global IT services and consulting. Active SOW supplier in Fieldglass. LATAM supplier.,88,45,25,30,20,33,Application Development|Consulting / Advisory|Data Engineering|Staff Augmentation,Active SOW in Fieldglass (Accenture LLP + International Limited). LATAM approved.
V030,PwC,pwc.com,Professional Services,2,Active,AMER,$0.5M,2026-12-31,VER Team,"300 Madison Avenue, New York, NY 10017",Same as principal,,,Advisory and technology consulting. Active SOW supplier. FY25 Slack Enablement $542K.,91,35,22,25,18,27,Consulting / Advisory|Application Development|Security,Active SOW in Fieldglass. Coupa spend confirmed FY25.
V031,KPMG,kpmg.com,Professional Services,2,Active,AMER|EMEA,$0,2026-12-31,VER Team,"3 Times Square, New York, NY 10036",Same as principal,,,"Advisory, audit, and technology consulting. Active SOW in Fieldglass.",91,30,22,25,18,25,Consulting / Advisory|Data Engineering|Security,Active SOW in Fieldglass. Available for advisory engagements.
V032,Slalom Consulting,slalom.com,Professional Services,2,Active,AMER,$0,2026-12-31,VER Team,"821 2nd Avenue, Suite 1900, Seattle, WA 98104",Same as principal,,,Technology consulting and digital transformation. Active SOW in Fieldglass.,89,30,20,25,18,25,Consulting / Advisory|Application Development|Data Engineering,Active SOW in Fieldglass (Slalom LLC DBA Slalom Consulting).
V033,McKinsey & Company,mckinsey.com,Professional Services,1,Active,Global,$0,2026-12-31,VER Team,"55 East 52nd Street, New York, NY 10055",Same as principal,,,Strategic management consulting. Director-managed executive relationship.,93,25,20,20,15,21,Consulting / Advisory,Director-managed. Executive-level strategy engagements only.
V034,Wipro,wipro.com,Professional Services,2,Under Review,AMER|APAC,$0,2026-09-30,VER Team,"2 Tower Center Blvd, East Brunswick, NJ 08816",Same as principal,,,"IT services, application development, and staff augmentation.",86,40,28,32,22,32,Application Development|Application Maintenance|Staff Augmentation|QA & Testing,Under review for potential staff aug engagement.
V035,Infosys,infosys.com,Professional Services,2,Active,AMER|APAC|EMEA|LATAM,$0,2027-01-31,VER Team,"2020 Main Street, Suite 650, Irvine, CA 92614",Same as principal,,,"IT consulting, application services, and digital transformation. LATAM approved supplier.",89,42,26,30,20,32,Application Development|Data Engineering|Staff Augmentation|AI / ML,LATAM approved. Available for SF platform and enterprise app development.
V036,Tata Consultancy Services,tcs.com,Professional Services,2,Active,AMER|APAC|EMEA|LATAM,$0,2026-12-31,VER Team,"101 Park Avenue, 26th Floor, New York, NY 10178",Same as principal,,,"IT services, consulting, and outsourcing. LATAM approved supplier.",87,40,25,30,20,31,Application Development|Application Maintenance|Staff Augmentation|Data Engineering,LATAM approved supplier list.
V037,Globant,globant.com,Professional Services,2,Active,AMER|LATAM,$0,2026-12-31,VER Team,"388 Market Street, Suite 400, San Francisco, CA 94111",Same as principal,,,Digital transformation and software development. Active SOW and LATAM supplier.,88,30,22,25,18,25,Application Development|AI / ML|Consulting / Advisory|QA & Testing,Active SOW in Fieldglass. LATAM approved.
V038,Perficient,perficient.com,Professional Services,2,Active,AMER,$0.1M,2026-12-31,VER Team,"555 Maryville University Drive, Suite 600, St. Louis, MO 63141",Same as principal,,,Digital transformation consulting. Coupa spend confirmed FY26 $82K.,87,28,20,25,18,24,Application Development|Consulting / Advisory|Cloud Infrastructure,Coupa spend confirmed. Cloud ERP Roadmap engagement.
V039,Altimetrik,altimetrik.com,Professional Services,2,Active,AMER|LATAM,$0,2026-12-31,VER Team,"1900 N Bayshore Drive, Suite 1A, Miami, FL 33132",Same as principal,,,Digital engineering and product development. Active AMER and LATAM supplier.,86,28,20,25,18,24,Application Development|Platform Engineering|Data Engineering,AMER Niche/Direct Sourcing approved. LATAM approved.
V040,Oktana,oktana.io,Professional Services,2,Active,AMER|LATAM,$0.3M,2026-12-31,VER Team,Various US locations,Same as principal,,,Salesforce-focused development. Active SOW in Fieldglass. Coupa spend confirmed.,88,25,18,20,15,21,Application Development|ERP / Workday|Platform Engineering,Active SOW in Fieldglass. Coupa billing portal spend $259K FY26. LATAM approved.
V041,HCL Technologies,hcltech.com,Professional Services,2,Active,Global,$0,2027-12-31,VER Team,"330 Potrero Avenue, Sunnyvale, CA 94085",Same as principal,,,IT services. Active M&A engagement from Informatica acquisition — GDC Managed Service and EDO Support.,85,40,25,30,20,31,Application Maintenance|Managed Services|QA & Testing|Data Engineering,M&A inherited from Informatica. TCV $5.06M across 2 SOWs. SOW through 12/31/27.
V042,Sonata Software,sonata-software.com,Professional Services,2,Active,AMER|APAC,$0,2028-07-14,VER Team,"13755 Sunrise Valley Drive, Suite 720, Herndon, VA 20171",Same as principal,,,Oracle Cloud Applications and Salesforce Support. M&A from Informatica.,84,35,22,28,18,28,Application Maintenance|ERP / Workday|QA & Testing,M&A inherited. Oracle Cloud L2 Support TCV $1.45M. SF Support TCV $1.77M. Annual $613K.
V043,Protiviti,protiviti.com,Professional Services,2,Active,AMER,$0,2026-12-31,VER Team,"2884 Sand Hill Road, Menlo Park, CA 94025",Same as principal,,,"Risk, compliance, and technology consulting. Active SOW in Fieldglass.",88,25,20,22,18,22,Consulting / Advisory|Security,Active SOW in Fieldglass.
V044,Insight Global,insightglobal.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"4170 Ashford Dunwoody Road NE, Suite 250, Atlanta, GA 30319",Same as principal,,,IT staffing and managed services. AMER Elite Partner with approved rate card. WBE certified.,87,35,22,28,18,28,Staff Augmentation|Application Development|DevOps|QA & Testing|Data Engineering,AMER Elite Partner with negotiated rate card. WBE certified. Poland benchmark published.
V045,TEKsystems,teksystems.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"7437 Race Road, Hanover, MD 21076",Same as principal,,,IT staffing and managed services. AMER Elite Partner. MBE (LGBTQ+) certified.,87,35,22,28,18,28,Staff Augmentation|Application Development|DevOps|QA & Testing,AMER Elite Partner. MBE (LGBTQ+) certified.
V046,Adecco,adecco.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"10151 Deerwood Park Blvd, Jacksonville, FL 32256",Same as principal,,,General staffing and workforce solutions. AMER Elite Partner.,83,32,22,26,18,26,Staff Augmentation,AMER Elite Partner. General staffing.
V047,BCForward,bcforward.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"8888 Keystone Crossing, Suite 1300, Indianapolis, IN 46240",Same as principal,,,IT staffing firm. AMER Elite Partner. MBE certified.,84,30,22,26,18,25,Staff Augmentation|Application Development,AMER Elite Partner. MBE certified.
V048,Spectraforce Technologies,spectraforce.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"100 Perimeter Park Drive, Suite A, Morrisville, NC 27560",Same as principal,,,IT staffing. AMER Elite Partner. WBE certified. Active SOW in Fieldglass.,84,30,22,26,18,25,Staff Augmentation|Application Development|QA & Testing,AMER Elite Partner. WBE certified. Active SOW in Fieldglass.
V049,Swoon,swoonstaffing.com,Contingent Workforce,2,Active,AMER,$0,2026-12-31,VER Team,"205 N Michigan Ave, Suite 4000, Chicago, IL 60601",Same as principal,,,Technology staffing. AMER Elite Partner. SBA(8) and MBE certified. Active SOW.,84,28,20,25,18,24,Staff Augmentation|Application Development,AMER Elite Partner. SBA(8) + MBE + CA DGS certified. Active SOW in Fieldglass.
